time,queue_density,dynamic_density
20.3333,0.242158,0
20.4,0.241552,0
20.4667,0.241609,0
20.5333,0.242618,0
20.6,0.242918,0
20.6667,0.243528,0
20.7333,0.24381,0
20.8,0.244054,0
20.8667,0.247123,0
20.9333,0.247804,0
21,0.248339,0
21.0667,0.24977,0
21.1333,0.250268,4.69307e-06
21.2,0.251079,0.00437394
21.2667,0.250798,0.00408767
21.3333,0.241928,0.00603998
21.4,0.243021,0.00624179
21.4667,0.243514,0.00546274
21.5333,0.242585,0.00490426
21.6,0.242158,0.00326638
21.6667,0.242632,0.00454759
21.7333,0.242806,0.00206026
21.8,0.241637,0.00030505
21.8667,0.24189,0.00137976
21.9333,0.241102,1.40792e-05
22,0.242167,0.000370753
22.0667,0.242594,0.000581941
22.1333,0.241928,0.000417683
22.2,0.241806,0.00169889
22.2667,0.241008,0.00348226
22.3333,0.242186,0.00288155
22.4,0.241919,0.00114042
22.4667,0.241726,0.000872912
22.5333,0.243214,0.0011498
22.6,0.243495,0.000675803
22.6667,0.246546,0.000586634
22.7333,0.250873,0.00288624
22.8,0.253581,0.00665478
22.8667,0.258227,0.00909987
22.9333,0.261808,0.0131828
23,0.260123,0.0168106
23.0667,0.264192,0.0197062
23.1333,0.266139,0.0218275
23.2,0.265243,0.0213863
23.2667,0.26582,0.0235874
23.3333,0.265529,0.0227239
23.4,0.263718,0.0233433
23.4667,0.263488,0.0253191
23.5333,0.265154,0.0277642
23.6,0.262826,0.0254599
23.6667,0.265116,0.0269007
23.7333,0.268125,0.0276704
23.8,0.265919,0.0266144
23.8667,0.267285,0.0281068
23.9333,0.267289,0.0273559
24,0.266876,0.0276093
24.0667,0.268176,0.0287685
24.1333,0.268683,0.028731
24.2,0.267388,0.0284588
24.2667,0.268477,0.0292238
24.3333,0.268458,0.0286371
24.4,0.267801,0.028487
24.4667,0.268819,0.0295617
24.5333,0.268678,0.0287826
24.6,0.268364,0.0287357
24.6667,0.267463,0.0293082
24.7333,0.268233,0.0283227
24.8,0.268129,0.028501
24.8667,0.26904,0.0294068
24.9333,0.268716,0.0288577
25,0.268317,0.0285949
25.0667,0.268669,0.0295476
25.1333,0.267561,0.0289563
25.2,0.266876,0.0286981
25.2667,0.266473,0.0283837
25.3333,0.265454,0.0273325
25.4,0.264281,0.026835
25.4667,0.263929,0.0272808
25.5333,0.262718,0.0255772
25.6,0.261977,0.0245401
25.6667,0.261963,0.0237516
25.7333,0.260958,0.0226722
25.8,0.262943,0.0246715
25.8667,0.264178,0.0240755
25.9333,0.266238,0.0245542
26,0.267294,0.0270462
26.0667,0.269364,0.0293129
26.1333,0.270058,0.028318
26.2,0.264938,0.0214145
26.2667,0.267092,0.021987
26.3333,0.26552,0.0145767
26.4,0.265069,0.0144312
